player,player_id,first_serve_pct,first_serve_win_pct,service_win_pct,second_serve_win_pct,first_return_win_pct,second_return_win_pct,rank,age,rank_change,cluster_rank,matches_played,cluster_age,climb_rate
Daniel Evans,e687,0.5943728605987435,0.6784511720190762,0.6435753378011735,0.6025060543018903,0.33744467979565096,0.5449685203821211,135,27.0,-90,211,21.0,0.037037037037037035,-4.285714285714286
Yoshihito Nishioka,n732,0.5483827841377857,0.6721393117201185,0.6126870539527497,0.5372942438445045,0.29987562021602393,0.44041507791507795,136,22.0,-51,210,22.0,0.045454545454545456,-2.3181818181818183
Stefan Kozlov,ke64,0.6177039828325237,0.7177236483912793,0.638802324713325,0.5121643772458573,0.29128840633673847,0.5105892896929332,137,19.0,-15,209,25.0,0.05263157894736842,-0.6
Ramkumar Ramanathan,rb56,0.5869005546248087,0.755232561694426,0.6573234653010218,0.5241364524533217,0.2412875225939079,0.4281164487686227,139,23.0,137,206,16.0,0.043478260869565216,8.5625
Peter Polansky,pb22,0.6283823720368935,0.70628483083935,0.6263579664607476,0.49098425028239434,0.2751184113732105,0.5138161160046444,140,29.0,-12,205,25.0,0.034482758620689655,-0.48
Ricardas Berankis,be90,0.5928491301885201,0.7251524920096455,0.6348572877235559,0.5061742224711114,0.2896012118404583,0.48500296838255186,141,27.0,-39,204,13.0,0.037037037037037035,-3.0
Casper Ruud,rh16,0.5738375964068464,0.7391341102529485,0.633509422206906,0.4862992740443385,0.2913894827898861,0.3588393703505308,142,18.0,75,203,23.0,0.05555555555555555,3.260869565217391
Bernard Tomic,ta46,0.6729758728719908,0.6928951305739743,0.6343960254015861,0.5058328228282372,0.31217713609371206,0.49988489263799785,143,25.0,-111,202,32.0,0.04,-3.46875
Martin Klizan,k966,0.5884932654743722,0.6937330311055451,0.6235075168416311,0.5250025147225995,0.31551619309141626,0.4892290133234955,144,28.0,-108,201,27.0,0.03571428571428571,-4.0
Akira Santillan,sq80,0.6350984750107528,0.6816285596950782,0.6144365126636352,0.4941181639415335,0.3085181250227017,0.5372947790227202,145,20.0,62,200,16.0,0.05,3.875
Renzo Olivo,o376,0.6065124523549117,0.5811703261174914,0.5260696956566794,0.44055799220272907,0.3333747771320828,0.45208494164139323,146,25.0,-58,199,33.0,0.04,-1.7575757575757576
Elias Ymer,y218,0.5964208156516315,0.7012586968750151,0.5980771386549982,0.4340755788879471,0.2730710904425807,0.44090111305784685,147,21.0,9,197,19.0,0.047619047619047616,0.47368421052631576
Yannick Maden,mh16,0.7498056670439257,0.4419588353397571,0.44804182403894444,0.7924289248008716,0.17124105233678036,0.27463177825354923,148,28.0,106,196,9.0,0.03571428571428571,11.777777777777779
Mirza Basic,be67,0.6141221867951032,0.688356789409421,0.6584153942174695,0.6121762009919904,0.35891077665552096,0.39629065515094924,149,26.0,63,195,16.0,0.038461538461538464,3.9375
Nicolas Almagro,a479,0.6063433859662251,0.7050964830376595,0.6330058477031462,0.5200892857142857,0.22055965055965054,0.47257495590828924,150,32.0,-104,192,24.0,0.03125,-4.333333333333333
Tommy Paul,pl56,0.616245637306787,0.6728567802812397,0.619443990281836,0.5451653550116008,0.28442143505522255,0.47165070346458554,151,20.0,167,191,13.0,0.05,12.846153846153847
Alessandro Giannessi,g983,0.6000956173369967,0.6512077294685991,0.5842648963338618,0.4874675324675324,0.30021929824561405,0.4979159129677249,154,27.0,-30,188,29.0,0.037037037037037035,-1.0344827586206897
Gleb Sakharov,sj22,0.6155797101449276,0.6511904761904761,0.6549818840579711,0.6571428571428571,0.2803705440900563,0.500354609929078,156,29.0,131,186,9.0,0.034482758620689655,14.555555555555555
Tommy Robredo,r419,0.653115462750028,0.6000519032413287,0.565598513731207,0.5113878146752452,0.2924426124634454,0.5069082239445143,157,35.0,393,185,19.0,0.02857142857142857,20.68421052631579
